date,algae_cells_mL,algae_mL_media,,
sept23,3061043,3.266860348,,
sept24,2064504,4.843778457,,
sept25,2765517,3.615960415,,
sept26,3028183,3.302310329,,
sept27,2347942,4.259048988,,
sept28,3580888,2.792603399,,
sept29,3323200,3.009147809,,
sept30,3629378,2.755293056,,
Oct1,2976250,3.359932801,,
Oct2,2977639,3.35836547,,
Oct3,2479958,4.032326354,,
Oct4,2448103,4.084795452,,
Oct5,2770600,3.6093265,,
Oct6,2614500,3.824823102,,
Oct7,2389800,4.184450582,,
Oct8,2026171,4.935417593,,
Oct9,2390000,4.184100418,,
Oct10,2545578,3.928380902,,
Oct11,2846188,3.513471352,,
Oct12,3644659,2.74374091,,
Oct13,3134162,3.190645538,,
Oct14,3824827,2.614497335,,
Oct15,3306704,3.024159405,,
Oct16,2818513,3.547970153,,
Oct17,2899920,3.44837099,,
Oct18,4412678,2.266197534,,
Oct19,3385812,2.953501258,,
Oct20,2605534,3.837984843,,
Oct21,2650985,3.772182792,,
Oct22,3082144,3.244494741,,
Oct23,3043051,3.286175618,,
Oct23,3420519,2.923532949,,
Oct24,3010038,3.322217195,,
Oct25,2774271,3.604550529,,
Oct26,3210754,3.114533222,,
Oct27,3189018,3.135761542,,
Oct28,3277421,3.051179571,,
Oct29,3622067,2.760854507,,
Oct30,3700200,2.702556619,,
Oct31,3739651,2.674046321,,
Nov1,3959389,2.525642214,,
Nov2,4248402,2.353826215,,
Nov 3,4296346,2.327559279,,
Nov4,4296346,2.327559279,,
Nov5,4449243,2.247573351,,
Nov6,4448960,2.24771632,,
Nov7,5036362,1.985560212,,
Nov8,4670355,2.141164858,,
Nov11,4938477,2.024915779,,
Nov12,4733293,2.112694059,,
Nov13,3883837,2.574773349,,
Nov14,3975556,2.515371435,,
Nov15,2568283,3.893651907,,
Nov16,2506940,3.988926739,,
Nov17,3958238,2.526376635,,
Nov18,2713474,3.685312629,,
Nov19,4325177,2.312044108,,
Nov20,4242684,2.356998541,,
Nov21,4248747,2.353635083,,
Nov22,4986991,2.005217174,,
Nov23,4447851,2.248276752,,
Nov24,4600454,2.173698509,,
Nov25,4965483,2.013902776,,
Nov26,4410341,2.267398371,,
Nov27,4652701,2.149289198,,
Nov28,4234515,2.361545537,,
Nov29,3327661,3.005113802,,
Nov30,2683855,3.725983706,,
Dec1,2979161,3.356649741,,
Dec2,3667625,2.726560104,,
Dec3,4233097,2.362336606,,
Dec4,4459901,2.242202237,,
Dec5,4268814,2.342571028,,
Dec6,3612434,2.768216665,,
Dec7,4860817,2.057267328,,
Dec8,4828233,2.071151082,,
Dec9,4679290,2.137076351,,
Dec10,4983806,2.006498648,,
Dec11,4589846,2.178722336,,
Dec12,4850122,2.061803806,,
Dec13,3147706,3.176916777,,
Dec14,3133094,3.191733156,,
Dec15,3169216,3.15535451,,
Dec16,3967259,2.520632003,,
Dec17,4800404,2.083158001,,
Dec18,3629878,2.754913526,,
Dec19,3977228,2.51431399,,
Dec20,3711100,2.694618846,,
Dec21,3510029,2.84897931,,
Dec22,3759322,2.660054127,,
Dec23,4165556,2.400639915,,
Dec24,3113472,3.21184838,,
Dec25,5182219,1.929675299,,
Dec26,3888175,2.571900699,,
Dec27,2529833,3.952830088,,
Dec28,3324128,3.008307743,,
Dec29,2652011,3.770723425,,
Dec30,1128248,8.863299558,,
Dec31,6278700,1.592686384,,
Jan1,5331407,1.875677471,,
Jan2,3772932,2.650458582,,
Jan3,4056263,2.465323378,,
Jan5,4728931,2.114642823,,
Jan6,4521953,2.211433865,,
Jan7,4948445,2.020836849,,
Jan8,4409586,2.26778659,,
Jan9,4430263,2.257202338,,
Jan10,4953213,2.018891576,,
Jan11,5803193,1.723189286,,
Jan12,NA,NA,,
Jan13,4802273,2.082347255,,
Jan14,4859848,2.057677524,,
Jan15,5420609,1.844811164,,
Jan16,6180355,1.618030032,,
Jan17,4661559,2.14520507,,
Jan18,4587737,2.179723903,,
Jan19,2792391,3.581160375,,
Jan20,4822371,2.073668741,,
Jan21,4984070,2.006392366,,
Jan22,4369281,2.288706082,,
Jan23,4217128,2.371282067,,
Jan24,4629485,2.160067481,,
Jan25,2285889,4.374665611,,
Jan26,2495084,4.007881097,,
Jan27,2845453,3.514378906,,
Jan28,2591085,3.859387091,,
Jan29,4315309,2.317331158,,
Jan30,4505929,2.219298174,,
Jan31,3031133,3.29909641,,
Feb1,4078517,2.451871599,,
Feb2,3066374,3.261180795,,
Feb3,4911746,2.035935897,,
Feb4,3573268,2.79855863,,
Feb5,4651875,2.149670832,,
Feb6,3621267,2.761464427,,
Feb7,4788815,2.088199273,,
Feb8,5306924,1.884330735,,
Feb9,4450959,2.246706833,,
Feb10,3751437,2.665645191,,
Feb11,4408580,2.26830408,,
Feb12,3118386,3.206787101,,
Feb13,3582606,2.791264236,,
Feb14,3589928,2.785571187,,
Feb15,NA,NA,,
Feb16,NA,NA,,
Feb17,3829566,2.611261955,,
Feb18,4512651,2.215992329,,
Feb19,4306984,2.321810343,,
Feb20,4561799,2.192117627,,
Feb21,4262481,2.346051513,,
Feb22,3989854,2.506357375,,
Feb23,3788879,2.639303076,,
Feb24,4734876,2.111987727,,
Feb25,3693746,2.707278735,,
Feb26,4660292,2.14578829,,